Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","PetFlow Blog","Feb 13, 2014 09:00 am",Thursday,12351,12304,37,10,47,1,0,883,7.18%,1111,86,0.70%,102,25,15,0,0,829ea66165,"5,369.14%",$4.43,$237.97,93,33,6,0.00%,03:19,16.13%,$0.00,5,5.38%,$2.56,$47.59
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","Facebook Sponsored","Feb 13, 2014 09:00 am",Thursday,7560,7550,9,1,10,0,0,667,8.83%,948,87,1.15%,109,20,5,0,0,091ace616b,"11,364.14%",$2.71,$308.30,103,25,9.4174757281553,0.00%,05:25,20.39%,$0.00,7,6.80%,$2.99,$44.04
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","Lifescript 2","Feb 13, 2014 09:00 am",Thursday,87800,87709,41,50,91,1,0,5362,6.11%,6489,190,0.22%,217,93,21,0,0,1b6f3f11d9,794.04%,$31.51,$250.18,196,99,6.1989795918367,0.51%,02:47,10.71%,$0.00,7,3.57%,$1.28,$35.74
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","Pet Deals 2","Feb 13, 2014 09:00 am",Thursday,8680,8675,3,2,5,1,1,959,11.05%,1168,44,0.51%,51,17,2,0,0,5cfec68c14,"1,598.48%",$3.11,$49.79,53,22,4.7169811320755,1.89%,01:41,11.32%,$0.00,2,3.77%,$0.94,$24.90
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!",LifeScript,"Feb 13, 2014 09:00 am",Thursday,62882,62832,26,24,50,0,0,3404,5.42%,4134,135,0.21%,161,38,16,0,0,93dc8e08d6,531.44%,$22.57,$119.92,153,70,5.7385620915033,1.31%,03:20,5.88%,$0.00,3,1.96%,$0.78,$39.97
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","Pet Deals","Feb 13, 2014 09:00 am",Thursday,17021,17002,10,9,19,0,0,1047,6.16%,1307,62,0.36%,76,15,7,0,0,54c6e655e1,"5,887.67%",$6.11,$359.62,65,38,9.3692307692308,0.00%,04:46,18.46%,$0.00,4,6.15%,$5.53,$89.91
"Bully Stick Sale (copy 01)","Bully Stick Sale Starts 6PM Eastern!  In Stock Now!","Special Products Customers","Feb 12, 2014 06:00 pm",Wednesday,67765,67646,59,60,119,7,1,10761,15.91%,14958,1597,2.36%,2036,189,39,0,0,9834a71fda,"65,009.34%",$24.32,"$15,808.70",2023,514,10.582797825012,1.24%,05:15,40.93%,$0.00,274,13.54%,$7.81,$57.70
"$12 off reccur (copy 02)","Flash Deal: $12.00 off activated for you.","Facebook Sponsored","Feb 12, 2014 10:40 am",Wednesday,7578,7569,7,2,9,1,1,827,10.93%,1083,47,0.62%,60,14,3,0,0,2979cd0cf0,"9,189.97%",$2.72,$249.91,55,18,13.363636363636,3.64%,05:58,27.27%,$0.00,5,9.09%,$4.54,$49.98
"$12 off reccur (copy 01)","Flash Deal: $12.00 off activated for you.","PetFlow Blog","Feb 12, 2014 10:40 am",Wednesday,12387,12340,45,2,47,0,0,1130,9.16%,1530,82,0.66%,97,26,19,0,0,48efab0cf4,"2,929.30%",$4.45,$130.21,93,28,12.118279569892,0.00%,03:57,12.90%,$0.00,3,3.23%,$1.40,$43.40
"$12 off reccur","Flash Deal: $12.00 off activated for you.",PetFlow,"Feb 12, 2014 10:33 am",Wednesday,293818,293672,86,60,146,31,16,30942,10.54%,40540,1541,0.52%,1884,246,40,0,0,863d551b48,"12,308.57%",$105.44,"$12,977.80",1821,481,15.922570016474,0.60%,05:58,31.30%,$0.00,189,10.38%,$7.13,$68.67
